Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1545.8693738317756
FDW14,OUT017,1251.5701536082477
NCN55,OUT010,584.7577647727271
FDQ58,OUT017,2649.1102324324315
FDY38,OUT027,6280.890880000003
FDH56,OUT046,1796.048865648855
FDL48,OUT018,711.0628208695656
FDC48,OUT027,2517.8820884848487
FDN33,OUT045,1879.2570116129027
FDA36,OUT017,2752.9709346534646
FDT44,OUT017,1796.048865648855
FDQ56,OUT045,1296.3845783783784
NCC54,OUT019,584.7577647727271
FDU11,OUT049,2041.5211392857143
DRL59,OUT013,711.0628208695656
FDM24,OUT049,2286.4132673684207
FDI57,OUT045,3130.004904950495
DRC12,OUT018,2893.8398258992806
NCM42,OUT027,3242.062071532847
FDA46,OUT010,482.69954262295084
FDA31,OUT013,2778.5893175257734
NCJ31,OUT035,3737.295775182482
FDG52,OUT046,796.6660672268906
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3384.1080642424226
FDX22,OUT010,584.7577647727271
NCF19,OUT035,796.6660672268906
NCE06,OUT046,2503.501336448598
DRC27,OUT046,3643.519725984252
FDE21,OUT035,2042.4213960000002
NCR42,OUT019,92.67548155339803
FDX51,OUT018,2893.8398258992806
NCR06,OUT018,507.04640366972507
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2503.501336448598
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.8820884848487
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2939.348476190476
NCD43,OUT027,2517.8820884848487
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2778.5893175257734
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727271
FDC26,OUT013,1663.1001128205132
FDR14,OUT010,165.91858165137623
NCS41,OUT035,3384.1080642424226
FDF41,OUT035,3737.295775182482
FDU34,OUT046,2041.5211392857143
DRH11,OUT046,935.0323883040934
FDM03,OUT013,1461.8437959999997
FDS31,OUT017,3384.1080642424226
FDJ20,OUT017,2137.240379831932
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2752.9709346534646
FDA09,OUT013,3259.562084905661
FDT04,OUT013,507.04640366972507
FDL58,OUT019,584.7577647727271
FDE52,OUT045,1251.5701536082477
FDW12,OUT035,2286.4132673684207
